-62.428449 0.002131 50.000545 0.000000
-62.428449 0.002131 50.000545 0.000000
-62.428449 0.009897 50.002926 0.008976
-62.428449 0.003733 50.001552 0.000000
-62.428449 0.003597 50.001421 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.001380 50.000413 0.000000
-62.428449 0.002131 50.000545 0.000000
-62.428449 0.002131 50.000545 0.000000
-80.428449 0.026832 50.013491 0.503333
-80.428449 0.026832 50.013491 0.503333
-80.428449 0.026832 50.013491 0.503333
-52.890175 0.001430 50.000432 0.000000
-52.890175 0.001430 50.000432 0.000000
-67.607169 0.002867 50.000923 0.000000
-76.891104 0.005044 49.998880 0.000000
-83.600463 0.034227 50.065549 0.949694
-67.607169 0.002867 50.000923 0.000000
-67.607169 0.002867 50.000923 0.000000
-67.607169 0.002153 49.999265 0.000000
-67.607169 0.002153 49.999265 0.000000
-67.607169 0.005189 50.000485 0.150190
-67.607169 0.002882 50.001715 0.000100
-67.607169 0.002836 50.000781 0.000000
-67.607169 0.006516 50.001746 0.203566
-70.374339 0.011033 49.999378 0.416303
-67.607169 0.001891 50.000446 0.000000
-67.607169 0.001863 50.000349 0.000000
-67.607169 0.002972 49.998747 0.000000
-67.607169 0.008581 50.000827 0.126339
-70.374339 0.011033 49.999378 0.416303
-70.374339 0.011039 50.005087 0.450006
-70.374339 0.010360 50.003140 0.438548
-67.607169 0.010245 50.000018 0.392514
-67.607169 0.011233 50.004174 0.456686
-70.374339 0.011039 50.005087 0.450006
-70.374339 0.011296 50.003686 0.414230
-70.374339 0.011324 50.012511 0.541875
-70.374339 0.011324 50.012511 0.541875
-70.374339 0.011039 50.005087 0.450006
-67.607169 0.009569 50.005478 0.462017
-67.607169 0.007074 50.001463 0.170712
-67.607169 0.007074 50.001463 0.170712
-67.607169 0.007074 50.001463 0.170712
-67.607169 0.009569 50.005478 0.462017
-67.607169 0.007094 50.004340 0.133155
-70.374339 0.012084 50.009403 0.613600
-70.374339 0.018487 50.007197 0.800964
-70.374339 0.011952 50.002985 0.019793
-70.374339 0.012845 50.002685 0.013786
-67.607169 0.013094 50.004907 0.032312
-70.374339 0.016811 50.005307 0.000063
-70.374339 0.011231 50.001722 0.000000
-67.607169 0.002286 49.999943 0.000000
-67.607169 0.002286 49.999943 0.000000
-67.607169 0.000856 50.000205 0.000000
-67.607169 0.002286 49.999946 0.000000
-67.607169 0.002284 49.999945 0.000000
-70.374339 0.004843 49.999006 0.000000
-67.607169 0.009820 50.004476 0.000000
-70.374339 0.041465 50.006582 0.130739
-70.374339 0.039283 50.011805 0.129267
-70.374339 0.023819 50.005378 0.000000
-70.374339 0.019909 50.009393 0.000000
-70.374339 0.019889 50.009473 0.000000
-70.374339 0.020183 50.005211 0.000000
-70.374339 0.020183 50.005211 0.000000
-70.374339 0.020183 50.005211 0.000000
-70.374339 0.044064 25.019706 0.187674
-70.374339 0.044064 25.019706 0.187674
-70.374339 0.044064 25.019706 0.187674
-67.607169 0.052169 25.027063 0.121313
-70.374339 0.012043 25.005311 0.000000
-70.374339 0.019918 25.002027 0.000000
-67.607169 0.020793 25.007931 0.000467
-70.374339 0.020411 25.009983 0.000000
-70.374339 0.029527 25.005045 0.002146
-70.374339 0.014308 25.002875 0.000000
-70.374339 0.010333 25.002185 0.000000
-70.374339 0.010333 25.002185 0.000000
-70.374339 0.008688 25.001559 0.000000
-70.374339 0.010573 25.002218 0.000000
-70.374339 0.044918 25.022455 0.304835
-70.374339 0.044496 25.027105 0.237453
-70.374339 0.043697 25.024279 0.169452
-70.374339 0.039680 25.017317 0.056785
-70.374339 0.042714 25.019481 0.089658
-67.607169 0.043616 25.018117 0.116667
-70.374339 0.030614 25.019380 0.003412
-70.374339 0.036750 25.008744 0.013879
-70.374339 0.039999 24.871054 0.030052
-70.374339 0.020963 25.063718 0.000028
-70.374339 0.007913 25.004297 0.000000
-67.607169 0.001587 25.000537 0.000000
-67.607169 0.001587 25.000537 0.000000
-67.607169 0.002395 25.000679 0.000000
-67.607169 0.002395 25.000679 0.000000
-67.607169 0.002395 25.000679 0.000000
-67.607169 0.002599 24.999321 0.000000
-67.607169 0.002599 24.999321 0.000000
