simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
0.52284,0,0.897246,4.9e+08,0,470,0.94447,0.0217391,-0.000213017,0.0097229,4.72847e-06,0.000405053
0.62284,0,0.949987,4.802e+08,0,460,0.999987,0,-0.00115907,0.00626171,5.44105e-06,2.02437e-05
0.72284,0,0.91182,4.70596e+08,0,451,0.959811,0.015625,0.00140784,0.00706147,6.17889e-06,3.6589e-05
0.82284,0,0.949993,4.61184e+08,0,442,0.999993,0,9.68879e-05,0.00596028,6.64141e-06,1.0975e-05
0.92284,0,0.949987,4.5196e+08,0,433,0.999987,0,0.000410879,0.00577531,7.14882e-06,1.9913e-05
1.02284,0,0.949988,4.42921e+08,0,425,0.999987,0,-0.00217007,0.00773845,7.63648e-06,1.91467e-05
1.12284,0,0.949999,4.34063e+08,0,416,0.999999,0,-0.000797105,0.00482487,7.87113e-06,2.0703e-06
1.22284,0,0.949997,4.25382e+08,0,408,0.999997,0,-0.000863111,0.0052673,8.16961e-06,4.30554e-06
1.32284,0,0.949999,4.16874e+08,0,400,0.999999,0,0.000620885,0.00532092,8.26228e-06,1.04563e-06
1.42284,0,0.949993,4.08536e+08,0,392,0.999993,0,-0.0015341,0.00558797,8.70067e-06,1.04902e-05
1.52284,0,0.949997,4.00366e+08,0,384,0.999996,0,0.00148289,0.00559953,8.91001e-06,5.32912e-06
1.62284,0,0.949997,3.92358e+08,0,376,0.999997,0,-0.000243109,0.00593376,9.28565e-06,4.87511e-06
1.72284,1,0.95,3.92358e+08,0,376,1,0,0.000336888,0.00444354,9.39416e-06,6.75283e-07
1.82284,1,0.949998,3.92358e+08,0,376,0.999998,0,-0.00048111,0.00551214,9.58801e-06,2.74715e-06
1.92284,1,0.949997,3.92358e+08,0,376,0.999997,0,-0.000591111,0.00482235,9.88314e-06,4.23841e-06
2.02284,1,0.949999,3.92358e+08,0,376,0.999999,0,0.000491889,0.00532057,9.93956e-06,9.03049e-07
2.12284,1,0.949994,3.92358e+08,0,376,0.999994,0,-0.00149811,0.00493269,1.04071e-05,8.95788e-06
2.22284,1,0.949999,3.92358e+08,0,376,0.999999,0,-0.000241111,0.00507479,1.05333e-05,1.00289e-06
2.32284,1,0.949998,3.92358e+08,0,376,0.999997,0,0.00107689,0.00589101,1.06923e-05,3.91427e-06
2.42284,1,0.949996,3.92358e+08,0,376,0.999996,0,0.000491887,0.005029,1.10336e-05,6.48236e-06
2.52284,1,0.949994,3.92358e+08,0,376,0.999994,0,-0.00049511,0.00490278,1.14388e-05,8.96947e-06
2.62284,1,0.949995,3.92358e+08,0,376,0.999995,0,-0.000576108,0.00498043,1.17876e-05,8.20865e-06
2.72284,0,0.949998,3.84511e+08,0,369,0.999998,0,-0.00010611,0.00485302,1.20039e-05,3.52479e-06
