simtime,current_action,reward,load,FM_state,packets_per_frame,QoE,frame_loss,last_mowdg,RTT,lastthreshold,quadraticsum_mowdg
0.52284,0,4.65863e-310,9.9e+07,20,95,1111.13,3.04444,0.00103189,0.00357778,8.64736e-07,1.54479e-05
0.62284,0,4.65863e-310,9.801e+07,20,94,1082.08,3.03704,0.000517888,0.00256477,1.17875e-06,4.88993e-06
0.72284,0,4.65863e-310,9.70299e+07,20,93,1059.91,3.03125,-0.00038511,0.00241469,1.36158e-06,1.16162e-06
0.82284,1,4.65863e-310,9.70299e+07,20,93,1046.81,3.02778,0.00163888,0.00322277,1.69722e-06,1.74231e-05
0.92284,1,4.65863e-310,9.70299e+07,20,93,1034.21,3.02439,0.000197888,0.00260205,1.98785e-06,3.05581e-06
1.02284,0,4.65863e-310,9.60596e+07,20,93,26.717,2,-0.00046111,0.0023427,2.17755e-06,1.30343e-06
1.12284,0,4.65863e-310,9.5099e+07,20,92,463.473,2.8,0.000131889,0.00247918,2.40079e-06,5.05569e-06
1.22284,0,629.675,9.4148e+07,19,91,662.766,2.9,-0.00057911,0.00240561,2.65699e-06,2.22634e-06
1.32284,0,697.426,9.32065e+07,19,90,734.083,2.92857,0.000569888,0.00299745,2.84163e-06,3.70382e-06
1.42284,0,745.931,9.22745e+07,19,89,785.14,2.94737,0.000387887,0.00253411,3.0942e-06,3.68241e-06
1.52284,0,773.314,9.13517e+07,19,88,813.965,2.95745,-0.000124111,0.00299475,3.27815e-06,1.35225e-06
1.62284,0,790.625,9.04382e+07,19,87,832.187,2.96364,0.000212889,0.00263052,3.43997e-06,2.98432e-06
1.72284,0,805.217,8.95338e+07,18,86,847.55,2.96875,-0.00043611,0.00243091,3.69259e-06,3.24787e-06
1.82284,0,816.394,8.86385e+07,18,85,859.315,2.9726,5.38886e-05,0.00229254,3.75739e-06,1.96169e-07
1.92284,0,826.09,8.77521e+07,18,85,869.521,2.9759,6.0889e-05,0.00221536,3.83752e-06,4.50808e-07
2.02284,0,83.1385,8.68746e+07,18,84,87.4668,2.33333,1.88882e-05,0.00230598,4.05212e-06,2.86418e-06
2.12284,0,496.093,8.60058e+07,18,83,522.156,2.83333,-0.00028211,0.00259399,4.25866e-06,4.66383e-06
2.22284,1,629.673,8.60058e+07,18,83,662.766,2.9,-6.81114e-05,0.00258562,4.45072e-06,1.34567e-06
2.32284,1,709.406,8.60058e+07,18,83,746.696,2.93333,0.000393888,0.00235575,4.61125e-06,1.68475e-06
2.42284,1,749.539,8.60058e+07,18,83,788.941,2.94872,-0.000361111,0.00224182,4.80296e-06,1.5023e-06
2.52284,1,773.31,8.60058e+07,18,83,813.963,2.95745,0.000833889,0.00274395,4.96646e-06,3.56417e-06
2.62284,1,792.462,8.60058e+07,18,83,834.123,2.96429,0.000281888,0.00247378,5.19254e-06,1.83101e-06
2.72284,1,807.95,8.60058e+07,18,83,850.427,2.9697,0.000138889,0.00253943,5.38044e-06,2.37803e-06
2.82284,1,818.526,8.60058e+07,18,83,861.559,2.97333,0.000266889,0.00254582,5.71343e-06,6.11291e-06
2.92284,1,826.938,8.60058e+07,18,83,870.414,2.97619,-0.000153111,0.00225023,5.87103e-06,9.48821e-07
3.02284,1,150.705,8.60058e+07,18,83,158.589,2.5,5.58889e-05,0.00205067,6.03138e-06,1.70766e-06
3.12284,1,496.095,8.60058e+07,18,83,522.158,2.83333,-0.000451111,0.00236648,6.12804e-06,6.02187e-07
